feature,importance
w60__last__s12_ti12040_daca_pv,0.0013844360527991624
w60__last__s10_tic12103_daca_pv,0.0013825163917819273
w60__mean__s08_tic12049_daca_pv,0.0013782776068448173
w60__mean__s12_ti12092_daca_pv,0.0013706779838201177
w60__last__s09_lic12017_daca_pv,0.0013553333770033537
w60__mean__s05_fic12078_daca_pv,0.001332960476979099
w60__mean__s12_ti12040_daca_pv,0.0013279880888312418
w60__last__s08_fic12068_daca_pv,0.0013278778098186992
w60__mean__s01_fic12061_daca_pv,0.0012941233919816764
w60__mean__s03_fic12063_pida_op,0.0012927164030148662
w60__last__s06_fic12069_daca_pv,0.0012856835106261181
w60__last__s06_lic12017_daca_pv,0.0012850522670007519
w60__mean__s07_ti12061_daca_pv,0.0012608136419820116
w60__last__s06_ti12063_daca_pv,0.001245485368115695
w60__mean__s13_lic12021_daca_pv,0.001242786075974246
w60__mean__s03_fic12076_pida_op,0.0012410498459948125
w60__mean__s09_fic12082_daca_pv,0.0012200956925374402
w60__mean__s02_ti12030_daca_pv,0.0011899552408106751
w60__mean__s01_tic12068_daca_pv,0.00117678982855629
w60__last__s01_ti12081_daca_pv,0.001146096380710111
w60__last__s06_tic12102_daca_pv,0.001136628834469134
w60__last__s04_ti12058_daca_pv,0.0011248785534860408
w60__mean__s06_fic12069_daca_pv,0.0011047521134816207
w60__last__s05_fic12065_pida_op,0.0010872693603481208
w60__mean__s09_tic12076_pida_op,0.0010683761162318236
w60__mean__s05_tic12098_pida_op,0.0010612299365050117
w60__last__s10_lic12018_daca_pv,0.0010504604093606019
w60__mean__s04_fic12064_pida_op,0.00103834471808709
w60__last__s02_tic12095_daca_pv,0.0010350447422545882
w60__last__s05_fic12078_pida_op,0.0010294992345266831
w60__mean__s13_ti12067_daca_pv,0.001022118976786834
w60__mean__s08_tic12075_pida_op,0.0010207476918157675
w60__last__s05_tic12098_pida_op,0.0010192572813086547
w60__last__s09_fic12069_daca_pv,0.0009918387382364291
w60__last__s08_ti12062_daca_pv,0.0009893672878097065
w60__mean__s09_ti12063_daca_pv,0.0009391560719153508
w60__mean__s02_tic12095_daca_pv,0.0009209072870655573
w60__mean__s06_fic12082_daca_pv,0.0009134342159898087
w60__mean__s05_fic12065_daca_pv,0.0009016387139422481
w60__last__s12_tic12105_daca_pv,0.000896204914979308
w60__last__s12_tic12053_daca_pv,0.0008894088493361424
w60__last__s09_fic12082_daca_pv,0.0008738694048353271
w60__mean__s04_ti12058_daca_pv,0.0008471994148972123
w60__last__s09_tic12102_daca_pv,0.0008442905487399816
w60__mean__s07_tic12048_daca_pv,0.0007786292679432678
w60__last__s06_tic12076_daca_pv,0.0007736007685633352
w60__mean__s05_ti12059_daca_pv,0.0007407102813348617
w60__last__s05_tic12046_daca_pv,0.0007203906355984984
w60__mean__s12_fic12085_pida_op,0.0007092174179489959
w60__mean__s12_tic12105_daca_pv,0.0006917754072838476
w60__last__s12_fic12085_daca_pv,0.0006788829772081701
w60__last__s03_fic12076_pida_op,0.0006685918029731069
