feature,importance
w60__min__s04_ti12032_daca_pv,0.0011852936447019095
w60__max__s08_fic12068_daca_pv,0.0011833961863235713
w60__max__s10_ti12064_daca_pv,0.0011815858008325897
w60__min__s04_tic12071_daca_pv,0.0011799541290344931
w60__mean__s05_ti12033_daca_pv,0.001178785048990416
w60__min__s06_tic12102_daca_pv,0.0011642956824402988
w60__min__s07_fic12080_daca_pv,0.0011611060570316041
w60__last__s10_tic12051_daca_pv,0.0011558009511442222
w60__delta__s08_ti12088_daca_pv,0.0011544057875996143
w60__last__s05_ti12085_daca_pv,0.0011511962799564811
w60__min__s13_ti12093_daca_pv,0.0011448644238487122
w60__mean__s09_ti12063_daca_pv,0.0011301976644891565
w60__last__s13_tic12054_daca_pv,0.0011249345373625559
w60__last__s10_fic12070_daca_pv,0.0011203916641625877
w60__min__s04_tic12045_daca_pv,0.0011154446849931758
w60__std__s09_tic12102_daca_pv,0.0011138041901243522
w60__delta__s10_fic12083_daca_pv,0.0011104301922743112
w60__delta__s05_tic12098_pida_op,0.001105934971134685
w60__min__s07_tic12048_daca_pv,0.0011017622874939044
w60__min__s09_tic12102_pida_op,0.0010995819904018101
w60__delta__s05_tic12046_daca_pv,0.0010982715054772992
w60__std__s02_ti12030_daca_pv,0.0010871878370212655
w60__mean__s09_fic12069_pida_op,0.001078374668749929
w60__std__s07_ti12035_daca_pv,0.0010780950357312492
w60__delta__s12_tic12105_pida_op,0.0010718967213456318
w60__last__s09_tic12102_pida_op,0.0010672369994681574
w60__mean__s10_ti12038_daca_pv,0.0010653878034283955
w60__std__s05_lic12013_daca_pv,0.0010577404704889086
w60__mean__s13_tic12106_daca_pv,0.001050305180081742
w60__last__s09_fic12069_daca_pv,0.001047098434816492
w60__delta__s10_ti12038_daca_pv,0.0010393207746256532
w60__max__s08_tic12049_daca_pv,0.001037649231773527
w60__min__s08_tic12075_pida_op,0.0010306893113403055
w60__mean__s13_lic12021_daca_pv,0.0010260899254548317
w60__std__s13_tic12080_daca_pv,0.0010259578345213338
w60__std__s05_ti12059_daca_pv,0.0010200251192430938
w60__delta__s04_fic12064_pida_op,0.0010194258360816308
w60__last__s13_ti12041_daca_pv,0.0010192771541067786
w60__mean__s08_ti12088_daca_pv,0.0010167398650220245
w60__last__s07_tic12100_pida_op,0.0010135844908466254
w60__delta__s07_tic12100_daca_pv,0.0010096966682969482
w60__last__s01_fic12061_pida_op,0.0010083230138563692
w60__max__s06_pi12008_2_daca_pv,0.0010060768565208344
w60__delta__s06_ti12037_daca_pv,0.0010028673669339409
w60__last__s10_lic12018_daca_pv,0.0010006183379408916
w60__delta__s07_fic12067_daca_pv,0.0009986496730614537
w60__mean__s07_ti12061_daca_pv,0.0009897641398737397
w60__min__s08_fic12068_pida_op,0.0009861606240450648
w60__last__s05_fic12078_pida_op,0.0009843892161597533
w60__delta__s04_fic12077_pida_op,0.0009802545127096064
w60__std__s07_tic12074_pida_op,0.0009746876462066345
w60__delta__s07_fic12067_pida_op,0.00096866238201077
w60__delta__s03_tic12096_pida_op,0.0009666577912095905
w60__delta__s08_ti12036_daca_pv,0.0009590141920088563
w60__last__s02_tic12043_daca_pv,0.0009575458054840974
w60__delta__s09_ti12089_daca_pv,0.000955941457282977
w60__last__s04_ti12032_daca_pv,0.0009452617080433479
w60__std__s09_lic12017_daca_pv,0.0009433325575148912
w60__min__s04_lic12012_daca_pv,0.0009300024319262956
w60__last__s04_ti12084_daca_pv,0.0009285781871118315
w60__delta__s10_ti12064_daca_pv,0.0009271924232093825
w60__mean__s07_ti12087_daca_pv,0.0009259648766876237
w60__mean__s07_tic12100_pida_op,0.0009176689383644955
w60__std__s10_tic12077_pida_op,0.0009148289953649661
w60__last__s12_ti12066_daca_pv,0.0009141555886433255
w60__delta__s10_tic12103_daca_pv,0.0009131370504848948
